Text,Rating value,Visitor ID
Sint explicabo in quo corporis similique quo et temporibus voluptatum.,2,508
Et qui molestiae rerum sint molestias.,1,771
Quia corrupti eum rem ut nostrum minima qui sint.,4,212
Facere fugiat blanditiis nemo laboriosam sit consectetur.,5,342
Iusto voluptate earum reprehenderit minus.,1,658
Beatae molestias quibusdam et reprehenderit eum.,2,297
Maiores dolor soluta.,0,242
Tempore minima non expedita.,2,971
Nesciunt itaque voluptas dolores.,4,27
Occaecati quo ipsum perferendis dolore est consequatur.,5,826
Expedita fugit quidem dolorem.,1,40
Aut non ipsa ex.,1,636
Fugiat expedita eos aut nemo provident.,2,72
Beatae tenetur voluptatem voluptatibus pariatur magnam dolorum rerum.,1,459
Modi praesentium debitis aut aut enim quas.,3,628
Accusamus et tempore est ea.,0,245
Quaerat fuga autem optio.,1,881
Maiores nulla perferendis vitae fugit quo natus tempora.,3,399
Maiores aut vel quidem.,5,485
Pariatur accusantium aspernatur veritatis numquam sit eaque rerum voluptate.,3,969
Nisi vel ab ut quis ut qui quia.,3,334
Voluptatem inventore quidem eligendi excepturi.,3,890
Rerum ut deserunt beatae beatae quasi voluptatem nisi neque veniam.,0,315
Sunt non similique ipsum.,4,998
Ab magni earum nostrum aut perferendis repellendus.,1,433
Hic sint sit blanditiis facere molestiae perspiciatis dolorem eum iste.,0,354
Deleniti suscipit sed enim veritatis pariatur nemo ipsum.,2,173
Ad omnis voluptatum autem.,2,995
Molestias culpa praesentium est perspiciatis delectus nostrum sint.,4,550
Mollitia eos vel autem ea soluta aut repudiandae quos vero.,0,351
Dolor eligendi omnis cupiditate.,3,20
Error dolor repellat praesentium consequatur est eaque aspernatur.,4,301
Eaque voluptate alias beatae quia dolorem eos.,0,546
Numquam officia reprehenderit maxime error dolorem sapiente rem perspiciatis.,2,230
Necessitatibus error dolorem dolor quidem distinctio debitis.,0,568
Eos ut et sit inventore explicabo similique.,2,382
Libero quaerat non facere libero asperiores eos.,1,478
Fuga aliquid ut minima nisi voluptas vero.,1,618
Fuga omnis dignissimos.,5,618
Sit labore itaque quia eligendi quae sint corporis.,4,891
Id rerum quia veritatis tenetur in numquam omnis.,5,428
Laudantium rerum quia beatae aliquam voluptatum maiores et libero.,1,196
Quia doloremque quia non quam fugit molestiae.,2,370
Dolore quis non mollitia.,1,799
Voluptas aperiam sapiente.,2,288
Corporis dolores voluptatibus.,2,585
Sunt quos consequatur eum facilis est consequatur et.,5,123
Consequatur quo animi voluptatem enim est laboriosam.,5,933
Et et aliquam unde numquam consequatur porro.,2,172
Sit et provident earum quos dolorem eveniet autem totam soluta.,4,3
Laudantium qui nesciunt.,0,71
Voluptas atque repellat deserunt fugiat ea qui unde assumenda.,5,888
Occaecati reiciendis voluptatem vitae fugiat aut nam.,1,952
Velit praesentium molestiae expedita debitis vero necessitatibus dignissimos.,4,998
Sapiente architecto pariatur tenetur sapiente labore sit quia autem quia.,1,176
Voluptas ipsam sunt dolores hic suscipit.,1,187
Voluptas qui laudantium et beatae delectus delectus laboriosam.,5,938
Sint sequi odit sit maxime officia quis cumque.,0,78
Rem aut nisi nisi et libero.,0,136
Vel est et ea blanditiis iure provident minus consequatur.,3,605
Itaque odio aut et.,0,386
Fuga enim corrupti molestiae molestias autem voluptate.,2,919
Voluptate debitis alias voluptatem aliquam aut omnis.,5,698
Praesentium earum assumenda unde rerum voluptatum.,0,5
Quis quis et eveniet ut.,2,204
Incidunt assumenda cumque et.,2,222
Minima error maiores nam.,1,285
Rerum tenetur quod.,2,635
Commodi voluptatem officia aperiam inventore incidunt hic beatae.,1,974
Nobis quam a odio aperiam aspernatur omnis omnis.,0,550
Consectetur ad aperiam labore autem incidunt qui a reiciendis.,0,75
Enim soluta qui qui dolore voluptas est debitis doloremque.,1,699
Reprehenderit quo est quia et voluptas ut amet perferendis vero.,3,26
Dolorem itaque magni est ullam necessitatibus unde.,0,327
Aliquam eligendi voluptatem velit velit eaque molestias quia.,2,971
Quo ab debitis.,5,488
Eveniet ea maiores illum labore iusto inventore.,5,834
Esse cum id repudiandae cum accusamus libero.,0,951
Accusamus tempora sunt necessitatibus.,5,938
Assumenda error nostrum sed.,0,475
Fugiat vero harum accusamus.,2,799
Libero et eum voluptas nisi numquam sunt sit tempore.,1,312
Exercitationem quo doloribus sed inventore est dolorem id sequi provident.,2,323
Dicta ut quia atque quae est.,5,470
Nihil pariatur placeat nam laudantium nobis qui nemo.,5,543
Natus id qui quisquam repellendus recusandae perferendis aperiam inventore.,4,591
Harum dignissimos sunt placeat quis aut quae sequi.,2,665
Totam voluptatem facere architecto ea.,5,259
Quia illum aut aut et.,2,318
Recusandae qui ipsa ut qui.,5,83
Mollitia iste aut aut possimus consectetur sint ipsum quam.,0,438
Perspiciatis aut sint quia sequi quos quia sit voluptatem non.,3,780
Quia rerum cupiditate quaerat distinctio rerum.,1,491
Iusto consequatur sequi vel soluta quia rerum.,0,269
Voluptate voluptas deleniti voluptatem aut amet modi esse repellendus.,0,802
Et eius corrupti.,4,855
Inventore cumque autem voluptas vero.,0,889
Qui doloremque eum et alias cupiditate totam.,2,756
Non sapiente sint expedita temporibus corrupti dolore sint et et.,0,616
Qui unde facilis ratione voluptatem in a blanditiis.,1,308
Iusto dolorem nostrum explicabo inventore totam nesciunt cupiditate est.,3,897
Eaque labore quas.,3,292
Fugiat atque similique.,5,180
Minima natus reprehenderit laboriosam corporis consectetur tempora delectus.,1,213
Sint atque odit qui voluptatum.,5,422
Tempore qui eveniet velit officiis porro sed.,1,665
Omnis cupiditate atque alias sint.,5,345
Magni et ducimus.,0,829
Fugit qui qui facilis error similique voluptatibus doloremque est corrupti.,2,482
Magnam id et totam.,2,72
Laboriosam accusamus et quia nostrum blanditiis et dolor cumque.,5,68
Alias earum fuga non qui eum vel.,5,939
Quia sequi quasi sapiente exercitationem id totam.,1,198
Veritatis magni ut sit.,5,550
Nobis porro dolorum voluptatem quos ut.,2,944
Aut magni quia dolor necessitatibus velit nam.,1,901
Eaque dolorum odio officiis iusto enim numquam veniam.,3,862
Adipisci fugiat fuga laboriosam dolorum voluptas reprehenderit libero ut itaque.,2,442
Qui quis provident aliquam sit temporibus fugiat deleniti.,2,911
Fuga libero aut excepturi voluptatem exercitationem.,2,458
Voluptatem tenetur nobis.,4,544
Provident laborum ut.,3,133
Illum nihil qui at deserunt rerum laboriosam et.,1,335
Similique esse quo doloremque quia et dolorem molestiae.,1,524
Ea quibusdam in in quia iusto quos dolorem et aliquid.,0,29
Tenetur ut incidunt.,2,889
Est et magni et rerum perspiciatis esse autem ducimus.,1,51
Cumque unde saepe vel vel non perspiciatis nesciunt nihil corporis.,3,251
Possimus sit voluptates sequi odit doloremque est repudiandae tempora excepturi.,1,745
Officiis qui quia.,2,132
Quia doloremque similique sequi temporibus voluptatem ad a.,0,298
Ut qui facilis vitae earum.,0,646
Earum omnis libero ut aperiam consequatur.,2,244
Quo nemo atque nihil reiciendis explicabo molestiae.,3,7
Et non quaerat fugiat beatae architecto.,1,956
Esse sint et sed id qui quibusdam.,2,302
Similique est hic eos est dignissimos.,2,421
Incidunt occaecati iusto laudantium commodi deserunt expedita inventore incidunt.,2,165
Aspernatur ut id rerum quae deleniti laborum praesentium.,3,517
Quam et et nemo non eius.,2,234
Hic a amet blanditiis.,2,507
Et nihil quia.,1,267
Quis mollitia quo ex.,1,302
Ratione velit laboriosam ullam.,2,672
Nulla animi animi at.,2,942
Nihil sed aut sint incidunt amet dolor dicta.,5,298
Saepe voluptas aliquid non.,4,10
Maiores dolor ipsam quia excepturi rerum unde laborum consequuntur.,2,824
Nihil quos omnis totam ut.,2,605
Maxime enim possimus voluptatem asperiores.,1,118
Et soluta veritatis quibusdam.,5,571
Sint nam animi expedita molestiae.,1,650
Reprehenderit ut perspiciatis neque praesentium dolores quia ipsum eveniet nesciunt.,3,793
Eum quia deleniti.,3,549
Quo laborum dolorem iste accusamus veniam incidunt veniam est illo.,3,324
Et cupiditate impedit iusto sit placeat velit ducimus.,5,937
Iusto et neque autem ut aliquid iste autem et magnam.,3,421
Tempora consectetur beatae quas mollitia debitis numquam.,4,700
Est perferendis eius sint ut saepe id beatae.,5,754
Placeat voluptas quia quia enim ad nostrum.,0,626
Quo eaque laboriosam dicta doloremque eum.,5,43
Officiis qui et.,4,377
Totam ut incidunt assumenda debitis fugit natus aliquam.,3,562
Vel nihil porro natus omnis quod quia id voluptatum.,5,796
Ut fugit atque qui non molestiae numquam.,2,193
Aut aperiam hic ut harum quidem in esse.,5,861
Et doloremque vero sed sunt quia voluptatibus voluptatem.,1,719
Ut eum incidunt voluptatem qui ab itaque ad beatae itaque.,1,205
Sed est distinctio id modi voluptates ipsa quo ut aperiam.,3,973
Sunt sed voluptas reprehenderit adipisci et aut.,1,760
Eos amet molestiae eum consequatur.,2,780
Ratione hic incidunt in velit ut consequatur similique aspernatur.,1,17
Ea in in enim incidunt deserunt officiis voluptatem.,0,637
Ut suscipit distinctio sint laborum necessitatibus eos.,1,254
Amet harum harum et quia ab omnis.,4,89
Voluptatibus temporibus sed minima assumenda.,4,705
Non nulla neque voluptate.,1,892
Dicta minima vel.,2,721
Nihil nisi eius voluptatibus praesentium autem ullam accusantium velit et.,3,886
Labore rerum aut aut.,3,966
Et et deleniti unde accusantium qui ab veniam modi impedit.,4,112
Aliquid tempore amet tempora rerum corrupti optio.,3,547
Distinctio quos omnis aut porro qui culpa voluptas.,5,614
Sed ut ut quidem similique architecto qui aut nemo vel.,3,773
Repellat iure et dolorum repudiandae voluptatum.,4,464
Illo ad et temporibus.,5,428
Quibusdam voluptas voluptatem.,4,619
Ut velit voluptatem rem aut.,2,187
Distinctio consectetur sunt.,2,514
Et ipsum quo reiciendis.,3,39
Ut voluptatibus in.,1,677
Fuga quas magni itaque.,4,789
Ut inventore dolorem dolorem eum voluptas amet omnis magnam.,0,145
Qui deserunt ad nemo molestiae inventore dignissimos odio.,3,664
Rerum quod corporis illo eos in sed.,1,909
Ut quaerat voluptatibus tenetur accusamus.,5,183
Aliquam soluta et et cum exercitationem odit dolor recusandae.,2,462
Ut maxime accusantium voluptates quibusdam quis molestiae amet accusantium.,5,97
Sit asperiores ut ullam aliquid fugit quae ipsam aut eum.,0,851
Quo voluptatem et ipsa perspiciatis aut.,4,742
Reiciendis harum sunt recusandae omnis.,0,288
Odio aut architecto quas dolor.,0,252
Dolorum enim magni nulla et harum.,3,185
Ullam reprehenderit nam.,2,219
Voluptas voluptate recusandae quas consequatur error et explicabo non.,5,945
Commodi nulla vel deleniti omnis veritatis tenetur ipsa.,3,161
Omnis enim et dolorem qui est.,3,559
Iste sunt debitis voluptatem.,1,845
Impedit earum maxime aperiam non.,3,859
Soluta omnis suscipit et deleniti in dolorem est.,4,269
Ut error accusantium voluptatem veritatis qui veniam.,4,513
Accusantium magnam pariatur asperiores provident.,5,311
Voluptatem laborum occaecati dignissimos molestias natus tenetur neque ut necessitatibus.,2,453
Nam beatae laudantium consequatur fugit sed quia enim.,2,692
Repellendus suscipit sint.,3,725
Nam suscipit facilis.,4,697
Dolorem laboriosam et saepe sunt dolore architecto.,1,911
Ea ratione ducimus.,4,755
Repellendus repudiandae consequatur.,0,323
Sed minus et in adipisci sint dolorem nihil consequatur.,0,347
Autem et magni tempore perferendis et.,2,6
Dolor ut odio dolor assumenda omnis.,2,814
Illum debitis quos velit dolores.,0,846
Voluptatum laboriosam qui et eos quo repellendus voluptas aut.,1,728
Nesciunt quos nulla.,4,277
Dolorem ullam placeat vero veniam.,4,575
Nesciunt et impedit minus quidem sed velit.,3,955
Quo possimus minima aut ducimus aut quae.,3,268
Est sunt est ut.,3,204
Et qui dolor aperiam laudantium enim consequatur.,5,682
Illo numquam ut aliquam vel molestias sit.,2,272
At iusto illo quasi doloribus facilis.,3,733
Et voluptas esse numquam necessitatibus adipisci.,3,840
Atque corrupti omnis quaerat quia est.,5,695
Velit qui non.,1,782
Quis dolor et fuga cupiditate suscipit voluptas quam et.,4,746
Doloribus aliquid odit voluptatem recusandae.,0,163
Explicabo numquam nulla molestiae dolor blanditiis.,2,187
Eos sed ducimus perferendis porro.,3,645
Optio qui perferendis dolor voluptas ut quisquam harum non est.,5,621
Ut id ut sit voluptates nemo dolor nostrum officiis et.,4,152
Enim quis qui.,4,786
Sapiente ex quod qui.,2,203
Unde alias dolorem ipsam qui eveniet consectetur.,3,814
Quam officia aspernatur omnis labore vero alias.,2,132
Vero corrupti eos nostrum rem aperiam.,4,767
Harum veniam eius suscipit ut similique quod minus.,5,694
In aliquam nihil.,2,796
Fugiat sit voluptatibus enim dignissimos quia molestias nostrum enim perferendis.,5,929
Autem aperiam enim maiores ut dolores necessitatibus dolores impedit rerum.,3,379
Ipsum delectus dolor.,2,287
Eveniet exercitationem tenetur aut et et itaque.,5,86
Perspiciatis aliquam voluptas beatae quibusdam voluptas hic.,1,710
Non earum rerum labore qui dolores voluptas.,1,481
Repudiandae eum eum sunt est labore aspernatur nemo.,4,48
Temporibus voluptas blanditiis magni non sunt iste harum.,1,375
Voluptas sint qui ducimus ipsam labore et minima ipsum.,0,740
Sit odio qui occaecati ducimus distinctio iste.,4,268
Id voluptatem labore atque laborum.,3,657
Repellat distinctio ratione fugiat.,3,71
Voluptatem quia nam.,1,377
Ipsum saepe repudiandae doloribus iusto.,4,689
Aut accusantium ipsa vero id impedit recusandae voluptates.,2,673
Minima similique inventore quis cumque dolorum ad enim expedita laborum.,0,182
Architecto quaerat itaque et neque omnis nulla qui in a.,2,377
Necessitatibus sunt itaque nihil nihil repellat.,5,271
Voluptas dicta iusto ut deleniti distinctio et voluptatem non dolorum.,0,807
Laboriosam eveniet et sed sed unde est vel.,5,243
Ipsum error nihil.,5,720
Velit nihil earum labore esse.,0,689
Ut odit quae enim atque delectus non error vel mollitia.,5,99
Minima voluptatem autem sunt illo sit.,0,482
Cum fuga architecto assumenda optio et cumque nam esse.,4,696
Quaerat animi pariatur ratione delectus dolores accusamus illo atque.,0,275
Fugiat aspernatur ab eaque iste.,0,591
Et ipsum ab quia dolorem vitae voluptas libero quisquam ut.,3,806
Vel quibusdam cumque.,4,703
Reiciendis sed placeat quo iusto dolorem ea nihil.,0,349
Dolorem ad repellat omnis adipisci debitis eaque nemo dicta explicabo.,5,260
Quos vero cum aspernatur facere rerum similique amet enim.,4,442
Commodi commodi nemo dolores ducimus.,5,626
Reprehenderit est aut facilis.,2,578
Dolorem corrupti nam sapiente dolorem dignissimos accusantium veniam.,5,69
Quis dolorum doloremque rem perferendis mollitia.,4,352
Dolorem ipsum consequuntur ea eveniet eos qui.,0,253
Fugit et aut cum.,1,54
Nesciunt inventore veniam dolore.,5,47
Optio laudantium vel aspernatur nesciunt sit qui quae voluptatem.,1,914
Excepturi quae mollitia.,2,55
Molestiae labore eos repellat sit molestiae numquam nesciunt commodi.,3,138
Voluptas sint ut rem fugit et omnis error.,1,950
Officiis delectus similique voluptates dolorum vitae dolorum.,0,251
Nam aut hic perferendis ipsa quia quo iusto repellendus autem.,3,908
Voluptatem tempora et sint ut.,1,862
Voluptates aut et earum.,5,543
Voluptatum repellendus omnis ut blanditiis tempore.,4,507
Ipsam id et inventore cum.,3,804
Sit commodi deserunt accusamus.,2,947
Omnis praesentium quia.,3,844
Et excepturi consequuntur laboriosam rerum dolorem.,1,59
Et voluptate ipsum.,3,781
Quisquam tenetur id corrupti necessitatibus laudantium distinctio nobis.,3,964
Aliquid voluptatibus et.,3,138
Modi nam cupiditate non est consequatur.,4,585
Tempora praesentium eos explicabo.,3,550
Voluptatum similique itaque adipisci consequuntur non.,2,696
Sequi quia unde.,5,882
Fugiat distinctio deserunt voluptas ea accusamus.,4,671
Cumque doloremque impedit tempora est sit earum ab.,0,535
Maiores aut voluptatum.,4,348
Suscipit ea veritatis qui maiores veritatis quo consequatur quae.,5,188
Consequatur eveniet qui aut qui qui dolor quo sunt.,5,637
Voluptatem quis quos sequi iure porro non nisi.,3,183
Officiis eos impedit nesciunt harum animi non eum maiores odit.,5,201
Laborum enim nihil in eveniet nisi quam.,1,33
Illum quo commodi nihil hic ipsa.,1,63
In temporibus laboriosam nostrum.,5,650
Sint facilis aliquam eaque et ipsam quae aspernatur aspernatur quae.,5,752
Eligendi expedita facilis minima eum reiciendis ipsum excepturi unde.,1,646
Quisquam et enim eos mollitia officia dignissimos.,1,417
Deserunt dignissimos laboriosam nostrum dignissimos aut et.,0,429
Natus nisi accusantium.,5,886
Quibusdam aut veniam pariatur alias.,5,50
Quidem qui ut vitae temporibus distinctio fugit perspiciatis quibusdam.,3,77
Aut incidunt adipisci culpa.,0,27
Molestiae nesciunt possimus est sunt quae blanditiis.,4,654
Nisi quod autem doloribus.,5,48
Minus placeat et.,4,635
Ducimus dignissimos placeat labore deleniti.,0,821
Ipsa est enim.,3,1000
